a,b,c,d,,,,,,P11881
3vtr,2013,Q93J45,N-ACETYLGLUCOSAMINIDASE,,,,,,A7LXT8
3wmc,2014,P17050,N-ACETYLGLUCOSAMINIDASE,,,,,,526
3ozp,2011,D6E1Y1,N-ACETYLGLUCOSAMINIDASE,,,,,,A9SS48
3nsn,2010,Q15KI8,N-ACETYLGLUCOSAMINIDASE,,,,,,497
3s6t,2012,Q96SB4,N-ACETYLGLUCOSAMINIDASE,,,,,,O85361
5ndf,2017,P64012,POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 2,,,,,,506
3iae,2010,R1FPL7,BENZALDEHYDE LYASE,,,,,,Q9Y691
3d7k,2008,P00929,BENZALDEHYDE LYASE,,,,,,235
4xas,2015,P49410,METABOTROPIC GLUTAMATE RECEPTOR 2,,,,,,Q67296
4xaq,2015,Q9RFR0,METABOTROPIC GLUTAMATE RECEPTOR 2,,,,,,759
6gg4,2018,Q9AJF5,PYRUVATE KINASE PKM,,,,,,P04062
3t1a,2011,P19576,HIV-1 REVERSE TRANSCRIPTASE,,,,,,536
1u0g,2004,Q9BZP6,GLUCOSE-6-PHOSPHATE ISOMERASE,,,,,,P11797
3aho,2010,P01892,OLIGOPEPTIDASE,,,,,,499
3ahn,2010,P13747,OLIGOPEPTIDASE,,,,,,Q54276
4y2q,2015,Q95460,BIFUNCTIONAL EPOXIDE HYDROLASE 2,,,,,,499
4l9i,2014,P30464,RHODOPSIN KINASE,,,,,,B5ABY0
5wqc,2017,P30475,"OREXIN RECEPTOR TYPE 2,GLGA GLYCOGEN SYNTHASE,OREXIN",,,,,,483
1g98,2001,P38998,GLUCOSE-6-PHOSPHATE ISOMERASE,,,,,,P29736
1koj,2002,Q16654,GLUCOSE-6-PHOSPHATE ISOMERASE,,,,,,501
3gbe,2009,Q9UR30,SUCROSE ISOMERASE SMUA,,,,,,P43490
1ajp,1997,P0DMV8,PENICILLIN AMIDOHYDROLASE,,,,,,491
1ai4,1997,Q8PIS1,PENICILLIN AMIDOHYDROLASE,,,,,,P56817
1ajn,1997,K7N5N3,PENICILLIN AMIDOHYDROLASE,,,,,,501
1ai5,1997,P0AEY8,PENICILLIN AMIDOHYDROLASE,,,,,,Q52012
1ai7,1997,P33981,PENICILLIN AMIDOHYDROLASE,,,,,,521
1ajq,1997,Q0A480,PENICILLIN AMIDOHYDROLASE,,,,,,Q7D2F4
2pwd,2007,Q2A1P5,SUCROSE ISOMERASE,,,,,,521
2pwg,2007,Q89FH0,SUCROSE ISOMERASE,,,,,,P00690
3o5x,2010,Q9BY41,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 11",,,,,,511
5ehr,2016,P03472,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 11",,,,,,P04746
3hww,2009,A6XNE6,2-SUCCINYL-5-ENOLPYRUVYL-6-HYDROXY-3-CYCLOHEXENE,,,,,,511
4dmw,2012,P28720,TOXIN A,,,,,,O60701
5o9o,2018,Q13093,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2",,,,,,494
5oa2,2018,Q72I44,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2",,,,,,Q0P844
5o9p,2018,P15587,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2",,,,,,511
5o9q,2018,P11362,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2",,,,,,B2DJD9
5o9y,2018,D3DSX2,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2",,,,,,0
5o9r,2018,A5K1A2,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2",,,,,,P41594
5oa6,2018,Q6DPL2,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2",,,,,,1212
1w96,2005,Q6WVP6,ACETYL-COA CARBOXYLASE,,,,,,O50260
3ldq,2011,D6D1V7,HEAT SHOCK COGNATE 71 KDA PROTEIN,,,,,,509
3m3z,2011,Q9NYA1,HEAT SHOCK COGNATE 71 KDA PROTEIN,,,,,,Q5M4H8
1atr,1993,Q16539,HEAT-SHOCK COGNATE 70 KDA PROTEIN,,,,,,483
1pfu,2004,P47811,METHIONYL-TRNA SYNTHETASE,,,,,,O14842
3ies,2010,P11444,LUCIFERIN 4-MONOOXYGENASE,,,,,,300
4bqh,2013,P05121,UDP-N-ACETYLGLUCOSAMINE PYROPHOSPHORYLASE,,,,,,Q944H0
2wm0,2010,P0AF18,CHITINASE A,,,,,,491
2wlz,2010,P08559,CHITINASE A,,,,,,Q9KWT6
2wly,2010,P52732,CHITINASE A,,,,,,526
4pfu,2014,Q13627,ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN,,,,,,P22498
3o84,2010,P29768,PEPTIDE ARYLATION ENZYME,,,,,,489
4pft,2014,Q9JYL2,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN,,,,,,O00255
5z5f,2018,P28482,BETA-XYLOSIDASE,,,,,,615
4qfn,2015,P63086,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN,,,,,,Q9WAF5
4qfp,2015,Q9QYJ6,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN,,,,,,582
4qfo,2015,Q9Y233,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN,,,,,,P00727
4qfl,2015,P66992,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN,,,,,,519
3zj6,2014,Q99QC1,RAUCAFFRICINE-O-BETA-D-GLUCOSIDASE,,,,,,Q97S37
4d1j,2014,P05543,"BETA-GALACTOSIDASE, BGL35A",,,,,,0
3c2u,2008,T2I3Q3,XYLOSIDASE/ARABINOSIDASE,,,,,,P01112
4bc5,2012,B0L7B0,XYLULOSE KINASE,,,,,,189
2oiq,2007,P14324,TYROSINE-PROTEIN KINASE SRC,,,,,,P24182
1a1e,1998,P0AES7,C-SRC TYROSINE KINASE,,,,,,449
4o2p,2015,P06982,TYROSINE-PROTEIN KINASE SRC,,,,,,Q9BJF5
4ybk,2016,P50097,TYROSINE-PROTEIN KINASE SRC,,,,,,507
2jg0,2007,O87198,PERIPLASMIC TREHALASE,,,,,,P12955
2jjb,2009,Q9VIH7,PERIPLASMIC TREHALASE,,,,,,493
2jf4,2007,P68135,PERIPLASMIC TREHALASE,,,,,,Q7VL18
2xg9,2010,Q70I53,BETA-AMYLASE,,,,,,525
3f6e,2008,P48729,BENZOYLFORMATE DECARBOXYLASE,,,,,,P0ABE7
3fzn,2009,A4Q998,BENZOYLFORMATE DECARBOXYLASE,,,,,,128
4qge,2014,P08581,PHOSPHODIESTERASE 9A,,,,,,P00349
4b1j,2012,P09874,POLY(ADP-RIBOSE) GLYCOHYDROLASE,,,,,,483
3kr4,2010,O00408,M17 LEUCYL AMINOPEPTIDASE,,,,,,P19971
5cbm,2015,P54577,M17 LEUCYL AMINOPEPTIDASE,,,,,,482
4r76,2014,P31211,M17 LEUCYL AMINOPEPTIDASE,,,,,,P04995
4k3n,2013,A5KE01,M17 LEUCYL AMINOPEPTIDASE,,,,,,475
4u54,2015,P00517,IMPORTIN SUBUNIT ALPHA-1,,,,,,P09958
4u5s,2015,P05132,IMPORTIN SUBUNIT ALPHA-1,,,,,,794
4u5o,2015,P17612,IMPORTIN SUBUNIT ALPHA-1,,,,,,O33853
4u5n,2015,Q9I5Q5,IMPORTIN SUBUNIT ALPHA-1,,,,,,490
3ckb,2008,Q92769,SUSD,,,,,,Q75I93
5w1e,2017,C7BLE4,PUTATIVE TRANSCRIPTIONAL REGULATOR,,,,,,504
2wzf,2009,P01011,GLUCOSYLTRANSFERASE,,,,,,Q42975
3sur,2012,Q93009,BETA-HEXOSAMINIDASE,,,,,,504
3sus,2012,P50542,BETA-HEXOSAMINIDASE,,,,,,Q9Y2T3
3suv,2012,P17169,BETA-HEXOSAMINIDASE,,,,,,454
3suw,2012,Q9UGN5,BETA-HEXOSAMINIDASE,,,,,,P31723
3sut,2012,U6NCW5,BETA-HEXOSAMINIDASE,,,,,,511
3suu,2012,P0A988,BETA-HEXOSAMINIDASE,,,,,,Q96PN6
3sfg,2012,P35968,RNA-DEPENDENT RNA POLYMERASE,,,,,,1610
3zq9,2011,B8ZY56,XYLOGLUCANASE,,,,,,P22832
3tcg,2011,A5MTN0,PERIPLASMIC OLIGOPEPTIDE-BINDING PROTEIN,,,,,,639
6cfc,2018,Q8DQ00,LYTIC TRANSGLYCOSYLASE,,,,,,Q60187
3m8u,2010,Q3J1R2,HEME-BINDING PROTEIN A,,,,,,460
3f3c,2008,Q6L545,TRANSPORTER,,,,,,W5R8B8
3f48,2008,P45984,TRANSPORTER,,,,,,469
4mme,2013,A7YT55,TRANSPORTER,,,,,,C9EKP8
3f3d,2008,P00883,TRANSPORTER,,,,,,469
3f3e,2008,Q9TVW2,TRANSPORTER,,,,,,C6KQL9
3o9p,2011,P56658,PERIPLASMIC MUREIN PEPTIDE-BINDING PROTEIN,,,,,,459
4hw3,2013,P84887,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL,,,,,,F8UU09
2rkm,1997,P26446,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,469
1b2h,1998,P29320,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,C7FH46
1b4z,1999,Q5HEB7,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,469
1b46,1999,P37268,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,Q8A3I4
1b4h,1998,Q8WQX9,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,484
2olb,1996,P42641,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,Q08638
1b3l,1998,P20582,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,446
1qka,1999,Q99X63,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,U5XBU0
1b9j,1999,P0AB71,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,466
1b5h,1998,P00811,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,Q3S340
1b3h,1998,Q8ZKB0,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,466
1b58,1999,Q9Y6F1,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,P49841
1b0h,1998,Q643C8,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,420
1b3g,1998,Q8TF76,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,O53512
1jeu,1997,Q7CX36,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,462
1b3f,1998,Q14680,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,P53779
1jev,1997,P18031,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,464
1b1h,1998,Q5ZUA2,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,K4KA16
1b5i,1999,Q0ED31,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,2939
1b32,1998,Q9UM73,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,Q13451
1b52,1999,B6EXY4,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,457
1b05,1998,P31133,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,Q4MV79
1jet,1997,Q04759,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,476
1b40,1999,P00533,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,Q9HZ64
1qkb,1999,P03958,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,444
1b51,1999,P28523,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,P0A4X6
1b5j,1999,Q969Q7,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,0
1b6h,1998,Q9WUL6,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,P35790
1b7h,1998,P68400,OLIGO-PEPTIDE BINDING PROTEIN,,,,,,457
4xar,2015,Q5U5J2,METABOTROPIC GLUTAMATE RECEPTOR 3,,,,,,Q8WXF7
4kwf,2014,Q26490,ALDEHYDE DEHYDROGENASE,,,,,,558
4kwg,2014,Q9RVD6,ALDEHYDE DEHYDROGENASE,,,,,,G0S8G9
5jox,2016,Q9K169,NON-REDUCING END ALPHA-L-ARABINOFURANOSIDASE BOGH43A,,,,,,1116
5mz8,2017,Q7DDU0,ALDEHYDE DEHYDROGENASE 21,,,,,,P43889
5fcz,2016,P0AB91,B-N-ACETYLHEXOSAMINIDASE,,,,,,456
1jak,2001,B4EA43,BETA-N-ACETYLHEXOSAMINIDASE,,,,,,Q969R5
1hp5,2001,H3BCW1,BETA-N-ACETYLHEXOSAMINIDASE,,,,,,705
5wl0,2017,P67475,POLYMERASE BASIC PROTEIN 2,,,,,,Q93YN9
5yhg,2018,Q8ZQ06,NICKEL ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN,,,,,,451
5yhe,2018,O15804,NICKEL ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN,,,,,,P50743
5yh8,2018,Q9NQG6,NICKEL ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN,,,,,,436
2v3d,2007,Q8BGV8,GLUCOSYLCERAMIDASE,,,,,,Q9V2Z6
1ogg,2004,P04816,CHITINASE B,,,,,,455
1ur9,2004,Q9I6J1,CHITINASE B,,,,,,Q9R4E4
4re2,2015,Q5VXR3,BETA-MANNOSIDASE/BETA-GLUCOSIDASE,,,,,,455
4re4,2015,C3SGA2,BETA-MANNOSIDASE/BETA-GLUCOSIDASE,,,,,,Q9WYE2
1e6q,2001,Q06151,MYROSINASE,,,,,,449
1e6s,2000,P0C6X7,MYROSINASE,,,,,,P00634
4n9c,2014,Q9KID9,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE,,,,,,471
5upe,2017,Q9Y223,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE,,,,,,Q9KDT3
5upf,2017,Q7RYZ9,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE,,,,,,453
2gvj,2006,P27115,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE,,,,,,Q6L8Q7
3bra,2008,P31751,BETA-SECRETASE 1,,,,,,609
3udh,2012,Q8IJH3,BETA-SECRETASE 1,,,,,,P34948
3buf,2008,P36897,BETA-SECRETASE 1,,,,,,441
3bug,2008,Q54A37,BETA-SECRETASE 1,,,,,,Q59310
3buh,2008,P00797,BETA-SECRETASE 1,,,,,,694
3l59,2010,O13833,BETA-SECRETASE 1,,,,,,Q2XVP4
3rsx,2011,W8FRA6,BETA-SECRETASE 1,,,,,,451
3kmy,2010,Q12051,BETA-SECRETASE 1,,,,,,P81947
3kmx,2010,P43092,BETA-SECRETASE 1,,,,,,451
3ru1,2011,Q9KU37,BETA-SECRETASE 1,,,,,,Q7D785
4dju,2012,P15057,BETA-SECRETASE 1,,,,,,0
6ej3,2018,P32951,BETA-SECRETASE 1,,,,,,B0SWV2
4fm8,2012,Q9RA63,BETA-SECRETASE 1,,,,,,462
4djw,2012,O66809,BETA-SECRETASE 1,,,,,,A5H660
3ckp,2008,Q01064,BETA-SECRETASE 1,,,,,,440
4fs4,2012,Q9X1T1,BETA-SECRETASE 1,,,,,,P76637
4djv,2012,Q04724,BETA-SECRETASE 1,,,,,,0
5ie1,2016,C5AP93,BETA-SECRETASE 1,,,,,,Q43088
4h3j,2012,Q5TCY1,BETA-SECRETASE 1,,,,,,489
5v0n,2017,Q08345,BETA-SECRETASE 1,,,,,,P10845
4djx,2012,Q8WTX7,BETA-SECRETASE 1,,,,,,0
4fm7,2012,P10721,BETA-SECRETASE 1,,,,,,A5HZZ9
4ha5,2012,Q9Z2X8,BETA-SECRETASE 1,,,,,,0
5dqc,2016,P9WNP5,BETA-SECRETASE 1,,,,,,P34752
2fdp,2006,Q6N193,BETA-SECRETASE 1,,,,,,467
4fsl,2012,P04391,BETA-SECRETASE 1,,,,,,Q6PRR9
6ej2,2018,P13009,BETA-SECRETASE 1,,,,,,536
5i3v,2016,Q31TG8,BETA-SECRETASE 1,,,,,,P17752
5i3x,2016,Q9FD73,BETA-SECRETASE 1,,,,,,444
4h3g,2012,P04642,BETA-SECRETASE 1,,,,,,P49610
4djy,2012,Q8TDX5,BETA-SECRETASE 1,,,,,,1312
3i25,2010,O95819,BETA-SECRETASE 1,,,,,,P04035
3lpi,2010,P03176,BETA-SECRETASE 1,,,,,,888
5htz,2016,P46925,BETA-SECRETASE 1,,,,,,P15034
2vkm,2008,Q94M05,BETA-SECRETASE 1,,,,,,441
1fkn,2000,P13491,BETA-SECRETASE 1,,,,,,Q6QT42
2p4j,2007,P48730,BETA-SECRETASE 1,,,,,,456
4h3f,2012,Q9NXS2,BETA-SECRETASE 1,,,,,,Q04631
3lpk,2010,P25548,BETA-SECRETASE 1,,,,,,377
2qmg,2008,Q86PD7,BETA-SECRETASE 1,,,,,,P07650
5i3w,2016,Q57ZL6,BETA-SECRETASE 1,,,,,,440
5i3y,2016,P18654,BETA-SECRETASE 1,,,,,,I6Y8T4
1m4h,2002,P29375,BETA-SECRETASE 1,,,,,,0
2g94,2006,Q05320,BETA-SECRETASE 1,,,,,,P9WQD9
4gid,2012,P07267,BETA-SECRETASE 1,,,,,,416
4zek,2015,Q16769,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",,,,,,B5ZAD9
4zec,2015,P53582,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",,,,,,438
4zei,2015,E5R5T0,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",,,,,,P35844
4ra1,2015,P00953,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",,,,,,434
4zeb,2015,P14061,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",,,,,,P37821
1ppi,1995,P52333,ALPHA-AMYLASE,,,,,,473
4gqq,2012,V5IRV5,ALPHA-AMYLASE,,,,,,P62694
4gqr,2012,O60674,ALPHA-AMYLASE,,,,,,513
1u33,2004,B7QK46,ALPHA-AMYLASE,,,,,,P56252
3old,2011,P23861,ALPHA-AMYLASE,,,,,,433
1xd0,2004,P00491,ALPHA-AMYLASE,,,,,,P32361
5vr8,2017,P43813,UDP-GLUCOSE 6-DEHYDROGENASE,,,,,,1115
4oeu,2014,P04629,PUTATIVE PEPTIDE ABC-TRANSPORT SYSTEM PERIPLASMIC P,,,,,,P61964
5g5z,2017,O57947,"ABC TRANSPORTER, SUBSTRATE-BINDING PROTEIN",,,,,,334
5g61,2017,P00798,"ABC TRANSPORTER, SUBSTRATE-BINDING PROTEIN",,,,,,O60885
5g60,2017,P07824,"ABC TRANSPORTER, SUBSTRATE-BINDING PROTEIN",,,,,,1362
2ya7,2011,O97447,NEURAMINIDASE A,,,,,,Q6NXE4
2ya6,2011,O14757,NEURAMINIDASE A,,,,,,548
2ya8,2011,A0R5M8,NEURAMINIDASE A,,,,,,P16932
3lmk,2010,P05089,METABOTROPIC GLUTAMATE RECEPTOR 5,,,,,,433
6hlx,2018,Q9C9C9,AGAA,,,,,,Q873X9
6ghj,2018,Q1R3F7,DI-OR TRIPEPTIDE:H+ SYMPORTER,,,,,,433
5oxk,2018,Q9HZE7,DI-OR TRIPEPTIDE:H+ SYMPORTER,,,,,,Q9Y5S2
4phu,2014,A3N294,"FREE FATTY ACID RECEPTOR 1,LYSOZYME",,,,,,1711
5wp5,2017,Q88NI1,PHOSPHOMETHYLETHANOLAMINE N-METHYLTRANSFERASE 2,,,,,,Q88E47
1y3p,2005,Q9UR08,"ALGINATE-BINDING PROTEIN, ALGQ1",,,,,,433
1y3n,2005,A9CGA5,"ALGINATE-BINDING PROTEIN, ALGQ1",,,,,,Q38BV6
1uwt,2004,P14751,BETA-GALACTOSIDASE,,,,,,429
1uwu,2004,P00952,BETA-GALACTOSIDASE,,,,,,Q9H7B4
2ceq,2006,O96013,BETA-GALACTOSIDASE,,,,,,428
2cer,2006,P29724,BETA-GALACTOSIDASE,,,,,,Q09431
4og4,2014,P23360,MENIN,,,,,,511
4og3,2014,Q9AIU7,MENIN,,,,,,P0A6D3
4x5z,2015,P76141,MENIN,,,,,,427
4gq4,2012,P29597,MENIN,,,,,,Q93UV0
4x5y,2015,E3NZ06,MENIN,,,,,,420
5b2d,2016,Q6N446,HN PROTEIN,,,,,,Q53ZC8
2ewb,2006,O32449,CYTOSOL AMINOPEPTIDASE,,,,,,427
1lcp,1995,P06213,LEUCINE AMINOPEPTIDASE,,,,,,P10384
1lan,1995,P00469,LEUCINE AMINOPEPTIDASE,,,,,,446
4ipn,2013,Q27743,6-PHOSPHO-BETA-GLUCOSIDASE,,,,,,Q92UV8
4ury,2015,P00800,GTPASE HRAS,,,,,,424
4urz,2015,Q8VPB3,GTPASE HRAS,,,,,,Q8TEK3
6d5j,2018,P23458,GTPASE HRAS,,,,,,1537
6d5g,2018,Q834R3,GTPASE HRAS,,,,,,O24319
6d5e,2018,Q4WW81,GTPASE HRAS,,,,,,459
6d5h,2018,Q7SIG4,GTPASE HRAS,,,,,,Q9KPL5
6d55,2018,Q27546,GTPASE HRAS,,,,,,418
6d56,2018,O15530,GTPASE HRAS,,,,,,Q8WUI4
6exs,2018,P26514,PEPTIDE ABC TRANSPORTER PERMEASE,,,,,,952
3rv4,2011,P50053,BIOTIN CARBOXYLASE,,,,,,P50440
2v59,2009,Q9U8X2,BIOTIN CARBOXYLASE,,,,,,423
2v58,2009,P07986,BIOTIN CARBOXYLASE,,,,,,Q9Y823
3v5t,2012,O00764,CALMODULIN-DOMAIN PROTEIN KINASE 1,,,,,,418
3v51,2012,Q9VRQ9,CALMODULIN-DOMAIN PROTEIN KINASE 1,,,,,,Q9QZ85
3sxf,2012,Q8RDN9,CALMODULIN-DOMAIN PROTEIN KINASE 1,,,,,,413
3t3u,2012,A1JJJ9,CALMODULIN-DOMAIN PROTEIN KINASE 1,,,,,,Q8IWA4
3v5p,2012,O32243,CALMODULIN-DOMAIN PROTEIN KINASE 1,,,,,,741
5mby,2017,Q99640,XAA-PRO DIPEPTIDASE,,,,,,P35505
5z99,2018,P0A786,PUTATIVE ABC TRANSPORTER PERIPLASMIC BINDING PROTEIN,,,,,,419
6iiu,2018,Q9CCZ4,"SOLUBLE CYTOCHROME B562,THROMBOXANE A2 RECEPTOR,RUBREDOXIN",,,,,,Q5NGA7
1pgp,1995,P44542,6-PHOSPHOGLUCONATE DEHYDROGENASE (6-PGDH),,,,,,421
2wk6,2009,P23905,THYMIDINE PHOSPHORYLASE,,,,,,P08172
1uou,2004,P14177,THYMIDINE PHOSPHORYLASE,,,,,,466
3hl8,2010,P24941,EXODEOXYRIBONUCLEASE I,,,,,,P00558
3hp9,2010,P37487,EXODEOXYRIBONUCLEASE I,,,,,,417
6eqv,2018,Q3Y5H1,FURIN,,,,,,P09411
6eqx,2018,P0AEE5,FURIN,,,,,,417
6eqw,2018,P59641,FURIN,,,,,,P33038
4omc,2014,P00730,FURIN,,,,,,419
4ryd,2015,A6H6Y4,FURIN,,,,,,P0AG81
2oym,2007,P06999,ENDOGLYCOCERAMIDASE II,,,,,,438
4qlk,2015,P0A5R0,BETA-GLUCOSIDASE 7,,,,,,B3PGI1
4qll,2015,Q00534,BETA-GLUCOSIDASE 7,,,,,,419
3f5l,2009,O94760,BETA-GLUCOSIDASE,,,,,,P11838
3f5j,2009,K0Y3H9,BETA-GLUCOSIDASE,,,,,,419
3f5k,2009,A8IYS5,BETA-GLUCOSIDASE,,,,,,P15085
6exi,2018,D0IR47,ADENOSYLHOMOCYSTEINASE,,,,,,419
2uz9,2007,P56109,GUANINE DEAMINASE,,,,,,P0A749
2ri9,2008,P09955,"MANNOSYL-OLIGOSACCHARIDE ALPHA-1,2-MANNOSIDASE",,,,,,419
5d0r,2016,P42527,ADENYLATE CYCLASE TYPE 10,,,,,,Q00972
1gai,1996,A0ZNP3,GLUCOAMYLASE-471,,,,,,412
3b2q,2008,O14965,V-TYPE ATP SYNTHASE BETA CHAIN,,,,,,P08200
5nzn,2018,P39325,NEURAMINIDASE,,,,,,416
5nzf,2018,P29317,NEURAMINIDASE,,,,,,Q460N5
5nwe,2018,O85465,NEURAMINIDASE,,,,,,1801
5nz4,2018,P06565,NEURAMINIDASE,,,,,,Q980A5
5nze,2018,P00734,NEURAMINIDASE,,,,,,415
4b7j,2012,P15273,NEURAMINIDASE,,,,,,Q14145
4b7r,2012,Q9RCF6,NEURAMINIDASE,,,,,,624
4jfs,2013,P41784,ALPHA-L-FUCOSIDASE,,,,,,P56524
4j28,2013,D5CV28,ALPHA-L-FUCOSIDASE,,,,,,1084
2wvt,2010,P08235,ALPHA-L-FUCOSIDASE,,,,,,Q86C09
2xii,2010,P54829,ALPHA-L-FUCOSIDASE,,,,,,367
2xib,2010,J9XXB7,ALPHA-L-FUCOSIDASE,,,,,,C6A6Z1
4pcs,2014,Q05397,ALPHA-L-FUCOSIDASE,,,,,,0
4pee,2014,P01901,ALPHA-L-FUCOSIDASE,,,,,,P0A8M3
2wbg,2009,P53355,BETA-GLUCOSIDASE A,,,,,,642
5oss,2018,P37231,BETA-GLUCOSIDASE A,,,,,,P11309
2j77,2006,P19793,BETA-GLUCOSIDASE A,,,,,,313
2wc4,2009,P18153,BETA-GLUCOSIDASE A,,,,,,P9WFY1
2cbv,2006,G3XCK4,BETA-GLUCOSIDASE A,,,,,,270
2cbu,2006,Q41931,BETA-GLUCOSIDASE A,,,,,,B0B0V1
2j79,2006,P20581,BETA-GLUCOSIDASE A,,,,,,424
2wc3,2009,P54760,BETA-GLUCOSIDASE A,,,,,,P11021
2vrj,2008,P30967,BETA-GLUCOSIDASE A,,,,,,654
1w3j,2004,Q7W019,BETA-GLUCOSIDASE A,,,,,,Q15119
2j7f,2006,Q13153,BETA-GLUCOSIDASE A,,,,,,407
2j78,2006,P02879,BETA-GLUCOSIDASE A,,,,,,Q15118
2j7b,2006,Q7KQK0,BETA-GLUCOSIDASE A,,,,,,436
2j75,2006,P54830,BETA-GLUCOSIDASE A,,,,,,P0A953
1uz1,2004,Q5HSJ4,BETA-GLUCOSIDASE A,,,,,,406
2j7g,2006,Q0T8Y8,BETA-GLUCOSIDASE A,,,,,,P49336
2j7d,2006,A2IC68,BETA-GLUCOSIDASE A,,,,,,464
2j7h,2006,P08191,BETA-GLUCOSIDASE A,,,,,,Q93088
2ces,2006,Q12852,BETA-GLUCOSIDASE A,,,,,,406
2j7e,2006,Q01693,BETA-GLUCOSIDASE A,,,,,,P53934
1oif,2003,Q96Y14,BETA-GLUCOSIDASE A,,,,,,400
2cet,2006,P0ABZ6,BETA-GLUCOSIDASE A,,,,,,P00693
5n6s,2017,P47205,BETA-GLUCOSIDASE A,,,,,,438
4cpy,2014,Q51792,NEURAMINIDASE,,,,,,P06280
4cpz,2014,Q92N37,NEURAMINIDASE,,,,,,429
3k37,2010,P00520,NEURAMINIDASE,,,,,,A0QU89
1q5k,2004,Q59FK4,GLYCOGEN SYNTHASE KINASE-3 BETA,,,,,,385
4acc,2012,P00519,GLYCOGEN SYNTHASE KINASE-3 BETA,,,,,,P12694
3i4b,2010,P96711,GLYCOGEN SYNTHASE KINASE-3 BETA,,,,,,445
5e2l,2016,P47228,3-DEOXY-D-ARABINOHEPTULOSONATE-7-PHOSPHATE SYNTHASE,,,,,,Q93J45
2ypo,2013,P53686,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE AROG,,,,,,400
3pfp,2011,P40233,3-DEOXY-D-ARABINO-HEPTULOSONATE 7-PHOSPHAT,,,,,,P17050
2o0u,2007,Q81VW8,MITOGEN-ACTIVATED PROTEIN KINASE 10,,,,,,411
4oks,2014,C3P9L8,SERINE PROTEASE NS3,,,,,,D6E1Y1
4jfm,2013,Q9PPB4,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP5,,,,,,422
